best fit row,Fuel_Load,Spread_rate,Flame_length,Resistance ,Weight,plotIDs
78,7-PP-4,4,3,1.5,31.32,025-2
80,1-BB,7,5,1.2,5.3,026-1
80,1-BB,7,5,1.2,5.3,026-2
2,1-DFHD-3,8,4,3.0,3.3,027-1
2,1-DFHD-3,8,4,3.0,3.3,027-2
63,2-PP-2,5,4,1.3,8.52,028-1
63,2-PP-2,5,4,1.3,8.52,028-2
83,2-JU-2,3,2,3.0,1.4,029-1
83,2-JU-2,3,2,3.0,1.4,029-2
75,4-PP-4,9,4,1.3,8.4,030-1
52,2-PP&Assoc-3,13,7,1.7,1.7,030-2
6,2-DFHD-4,10,7,1.7,6.4,031-1
6,2-DFHD-4,10,7,1.7,6.4,031-2
6,2-DFHD-4,10,7,1.7,6.4,032-1
6,2-DFHD-4,10,7,1.7,6.4,032-2
52,2-PP&Assoc-3,13,7,1.7,1.7,033-1
52,2-PP&Assoc-3,13,7,1.7,1.7,033-2
6,2-DFHD-4,10,7,1.7,6.4,034-1
18,3-DF-4,2,2,1.3,27.3,034-2
18,3-DF-4,2,2,1.3,27.3,035-1
18,3-DF-4,2,2,1.3,27.3,035-2
52,2-PP&Assoc-3,13,7,1.7,1.7,036-1
52,2-PP&Assoc-3,13,7,1.7,1.7,036-2
6,2-DFHD-4,10,7,1.7,6.4,037-1
6,2-DFHD-4,10,7,1.7,6.4,037-2
80,1-BB,7,5,1.2,5.3,038-1
80,1-BB,7,5,1.2,5.3,038-2
81,2-BB,13,7,0.9,36.8,039-1
81,2-BB,13,7,0.9,36.8,039-2
46,3-LP-2,6,6,1.2,32.8,040-1
46,3-LP-2,6,6,1.2,32.8,040-2
52,2-PP&Assoc-3,13,7,1.7,1.7,041-1
52,2-PP&Assoc-3,13,7,1.7,1.7,041-2
52,2-PP&Assoc-3,13,7,1.7,1.7,042-1
52,2-PP&Assoc-3,13,7,1.7,1.7,042-2
52,2-PP&Assoc-3,13,7,1.7,1.7,043-1
52,2-PP&Assoc-3,13,7,1.7,1.7,043-2
64,3-PP-2,8,5,1.3,13.8,044-1
80,1-BB,7,5,1.2,5.3,044-2
82,1-JU-2,12,4,4.0,0.9,045-1
82,1-JU-2,12,4,4.0,0.9,045-2
80,1-BB,7,5,1.2,5.3,046-1
80,1-BB,7,5,1.2,5.3,046-2
6,2-DFHD-4,10,7,1.7,6.4,047-1
6,2-DFHD-4,10,7,1.7,6.4,047-2
82,1-JU-2,12,4,4.0,0.9,048-1
82,1-JU-2,12,4,4.0,0.9,048-2
26,1-SA-2,1,1,1.7,5.2,049-1
83,2-JU-2,3,2,3.0,1.4,049-2
63,2-PP-2,5,4,1.3,8.52,050-1
63,2-PP-2,5,4,1.3,8.52,050-2
81,2-BB,13,7,0.9,36.8,051-1
64,3-PP-2,8,5,1.3,13.8,051-2
6,2-DFHD-4,10,7,1.7,6.4,052-1
6,2-DFHD-4,10,7,1.7,6.4,052-2
18,3-DF-4,2,2,1.3,27.3,053-1
75,4-PP-4,9,4,1.3,8.4,053-2
80,1-BB,7,5,1.2,5.3,054-1
80,1-BB,7,5,1.2,5.3,054-2
78,7-PP-4,4,3,1.5,31.32,055-1
78,7-PP-4,4,3,1.5,31.32,055-2
75,4-PP-4,9,4,1.3,8.4,056-1
75,4-PP-4,9,4,1.3,8.4,056-2
6,2-DFHD-4,10,7,1.7,6.4,057-1
6,2-DFHD-4,10,7,1.7,6.4,057-2
52,2-PP&Assoc-3,13,7,1.7,1.7,058-1
52,2-PP&Assoc-3,13,7,1.7,1.7,058-2
6,2-DFHD-4,10,7,1.7,6.4,059-1
6,2-DFHD-4,10,7,1.7,6.4,059-2
6,2-DFHD-4,10,7,1.7,6.4,060-1
6,2-DFHD-4,10,7,1.7,6.4,060-2
19,4-DF-4,1,2,1.2,56.0,061-1
19,4-DF-4,1,2,1.2,56.0,061-2
19,4-DF-4,1,2,1.2,56.0,062-1
19,4-DF-4,1,2,1.2,56.0,062-2
52,2-PP&Assoc-3,13,7,1.7,1.7,063-1
52,2-PP&Assoc-3,13,7,1.7,1.7,063-2
81,2-BB,13,7,0.9,36.8,064-1
6,2-DFHD-4,10,7,1.7,6.4,064-2
6,2-DFHD-4,10,7,1.7,6.4,065-1
6,2-DFHD-4,10,7,1.7,6.4,065-2
81,2-BB,13,7,0.9,36.8,066-1
81,2-BB,13,7,0.9,36.8,066-2
52,2-PP&Assoc-3,13,7,1.7,1.7,067-1
52,2-PP&Assoc-3,13,7,1.7,1.7,067-2
52,2-PP&Assoc-3,13,7,1.7,1.7,068-1
52,2-PP&Assoc-3,13,7,1.7,1.7,068-2
82,1-JU-2,12,4,4.0,0.9,069-1
82,1-JU-2,12,4,4.0,0.9,069-2
81,2-BB,13,7,0.9,36.8,070-1
81,2-BB,13,7,0.9,36.8,070-2
81,2-BB,13,7,0.9,36.8,071-1
81,2-BB,13,7,0.9,36.8,071-2
82,1-JU-2,12,4,4.0,0.9,072-1
82,1-JU-2,12,4,4.0,0.9,072-2
80,1-BB,7,5,1.2,5.3,073-1
80,1-BB,7,5,1.2,5.3,073-2
81,2-BB,13,7,0.9,36.8,074-1
81,2-BB,13,7,0.9,36.8,074-2
80,1-BB,7,5,1.2,5.3,075-1
80,1-BB,7,5,1.2,5.3,075-2
81,2-BB,13,7,0.9,36.8,076-1
81,2-BB,13,7,0.9,36.8,076-2
81,2-BB,13,7,0.9,36.8,077-1
81,2-BB,13,7,0.9,36.8,077-2
81,2-BB,13,7,0.9,36.8,078-1
82,1-JU-2,12,4,4.0,0.9,078-2
81,2-BB,13,7,0.9,36.8,079-1
81,2-BB,13,7,0.9,36.8,079-2
83,2-JU-2,3,2,3.0,1.4,080-1
83,2-JU-2,3,2,3.0,1.4,080-2
81,2-BB,13,7,0.9,36.8,081-1
81,2-BB,13,7,0.9,36.8,081-2
52,2-PP&Assoc-3,13,7,1.7,1.7,082-1
52,2-PP&Assoc-3,13,7,1.7,1.7,082-2
82,1-JU-2,12,4,4.0,0.9,083-1
82,1-JU-2,12,4,4.0,0.9,083-2
82,1-JU-2,12,4,4.0,0.9,084-1
82,1-JU-2,12,4,4.0,0.9,084-2
82,1-JU-2,12,4,4.0,0.9,085-1
82,1-JU-2,12,4,4.0,0.9,085-2
82,1-JU-2,12,4,4.0,0.9,086-1
52,2-PP&Assoc-3,13,7,1.7,1.7,086-2
81,2-BB,13,7,0.9,36.8,087-1
81,2-BB,13,7,0.9,36.8,087-2
45,2-LP-2,1,1,2.0,20.5,088-1
45,2-LP-2,1,1,2.0,20.5,088-2
82,1-JU-2,12,4,4.0,0.9,089-1
82,1-JU-2,12,4,4.0,0.9,089-2
6,2-DFHD-4,10,7,1.7,6.4,090-1
6,2-DFHD-4,10,7,1.7,6.4,090-2
80,1-BB,7,5,1.2,5.3,091-1
80,1-BB,7,5,1.2,5.3,091-2
52,2-PP&Assoc-3,13,7,1.7,1.7,092-1
52,2-PP&Assoc-3,13,7,1.7,1.7,092-2
18,3-DF-4,2,2,1.3,27.3,093-1
18,3-DF-4,2,2,1.3,27.3,093-2
15,2-DF-3,17,13,0.5,111.5,094-1
6,2-DFHD-4,10,7,1.7,6.4,094-2
72,1-PP-4,44,3,3.0,0.84,095-1
75,4-PP-4,9,4,1.3,8.4,095-2
6,2-DFHD-4,10,7,1.7,6.4,096-1
52,2-PP&Assoc-3,13,7,1.7,1.7,096-2
81,2-BB,13,7,0.9,36.8,097-1
81,2-BB,13,7,0.9,36.8,097-2
81,2-BB,13,7,0.9,36.8,098-1
81,2-BB,13,7,0.9,36.8,098-2
82,1-JU-2,12,4,4.0,0.9,099-1
82,1-JU-2,12,4,4.0,0.9,099-2
80,1-BB,7,5,1.2,5.3,100-1
